,_p,_v,_t
683,70.23,42.33433,1589250471651
684,70.27,0.16499,1589250476704
685,70.26,10.035,1589250477156
686,70.26,1.88157,1589250477171
687,70.25,0.451,1589250478077
688,70.3,0.504,1589250561887
689,70.31,0.22546,1589250606537
690,70.29,0.6,1589250651280
691,70.24,0.5,1589250691978
692,70.24,2.8,1589250692238
693,70.23,1.67139,1589250692333
694,70.21,0.5,1589250857250
695,70.21,5.76569,1589250857262
696,70.2,8.8343,1589250857277
697,70.24,3.4,1589250885625
698,70.28,0.174,1589250919605
699,70.32,1.42743,1589250929200
700,70.32,1.0,1589251033773
701,70.26,0.14563,1589251119844
702,70.3,0.86586,1589251130916
703,70.31,7.18941,1589251132630
704,70.26,0.424,1589251133031
705,70.31,3.32855,1589251134901
706,70.3,0.72582,1589251138615
707,70.31,0.7251,1589251138615
708,70.32,14.25458,1589251138615
709,70.24,0.5,1589251173662
710,70.32,0.15643,1589251202666
711,70.31,1.646,1589251213928
712,70.32,0.639,1589251216336
713,70.34,4.596,1589251218146
714,70.35,1.532,1589251234829
715,70.36,1.825,1589251245286
716,70.36,1.475,1589251245291
717,70.37,3.064,1589251245309
718,70.39,2.50875,1589251245667
719,70.39,2.35196,1589251245716
720,70.39,30.48861,1589251245741
721,70.39,4.79068,1589251245741
722,70.42,40.14,1589251246182
723,70.43,5.88805,1589251246182
724,70.43,1.20495,1589251246294
725,70.45,0.83764,1589251246314
726,70.45,0.68854,1589251246315
727,70.45,0.96956,1589251246324
728,70.45,3.65,1589251246367
729,70.45,0.95659,1589251246433
730,70.47,4.619,1589251246868
731,70.44,1.532,1589251246997
732,70.44,1.53198,1589251247691
733,70.44,2e-05,1589251248698
734,70.46,40.13959,1589251248785
735,70.46,0.00041,1589251249269
736,70.5,28.71768,1589251249885
737,70.5,3.0539,1589251249899
738,70.49,1.32,1589251250502
739,70.49,1.32,1589251250519
740,70.5,23.89664,1589251250904
741,70.5,17.73175,1589251250982
742,70.5,21.70054,1589251250991
743,70.51,0.647,1589251251207
744,70.53,1.092,1589251251260
745,70.53,0.216,1589251251358
746,70.53,4.19075,1589251251367
747,70.51,0.81219,1589251251395
748,70.53,5.36636,1589251251395
749,70.53,0.79238,1589251251419
750,70.54,0.23,1589251251519
751,70.55,4.5,1589251251583
752,70.55,1.5,1589251251597
753,70.56,0.716,1589251251699
754,70.56,0.762,1589251251832
755,70.57,0.96059,1589251251988
756,70.55,0.34584,1589251252058
757,70.55,0.19517,1589251252488
758,70.55,0.816,1589251253260
759,70.58,1.2219,1589251253456
760,70.58,0.62845,1589251253479
761,70.58,39.2491,1589251253583
762,70.59,2.05521,1589251253989
763,70.61,0.6994,1589251254421
764,70.59,4.71661,1589251254425
765,70.58,4.0,1589251254428
766,70.58,0.18451,1589251254466
767,70.53,0.20027,1589251256545
768,70.53,0.89173,1589251257179
769,70.55,0.6998,1589251258444
770,70.52,0.8,1589251259055
771,70.51,2.40564,1589251261295
772,70.53,2.9407,1589251261437
773,70.53,2.57311,1589251261452
774,70.53,2.29381,1589251261484
775,70.53,15.17531,1589251261494
776,70.53,21.80491,1589251261506
777,70.55,2.59005,1589251261521
778,70.52,40.13959,1589251262986
779,70.52,0.00041,1589251263035
780,70.54,2.50875,1589251263870
781,70.54,3.2555,1589251263874
782,70.54,34.37575,1589251263884
783,70.55,40.14,1589251265028
784,70.57,1.14189,1589251265309
785,70.57,0.39011,1589251265359
786,70.56,2.2953,1589251265487
787,70.56,1.15289,1589251265499
788,70.56,36.69181,1589251265506
789,70.6,0.5,1589251265576
790,70.6,12.07373,1589251266393
791,70.6,0.00013,1589251266497
792,70.61,40.36119,1589251267487
793,70.61,40.14,1589251268504
794,70.62,0.72235,1589251268504
795,70.62,10.0,1589251268722
796,70.64,5.0175,1589251269243
797,70.64,1.88157,1589251269257
798,70.64,1.84237,1589251269269
799,70.64,3.92482,1589251269285
800,70.64,1.47181,1589251269300
801,70.64,1.53314,1589251269320
802,70.64,10.06118,1589251269341
803,70.64,11.01436,1589251269349
804,70.64,3.39325,1589251269355
805,70.67,0.72182,1589251269596
806,70.66,4.85161,1589251269663
807,70.66,4.79837,1589251270157
808,70.65,12.20885,1589251270215
809,70.67,1.48071,1589251270689
810,70.64,0.6998,1589251272485
811,70.64,0.30251,1589251272744
812,70.64,0.98096,1589251272872
813,70.64,0.6993,1589251276485
814,70.63,0.35674,1589251279731
815,70.61,1.533,1589251280109
816,70.64,0.64598,1589251280502
817,70.67,0.05342,1589251280502
818,70.63,5.54789,1589251282284
819,70.63,6e-05,1589251284509
820,70.67,0.69984,1589251284509
821,70.67,0.6994,1589251288521
822,70.68,0.6993,1589251292534
823,70.68,0.6993,1589251296527
824,70.63,0.5,1589251304627
825,70.65,4.0,1589251314305
826,70.63,6.30162,1589251314305
827,70.62,0.6207,1589251314305
828,70.69,0.28489,1589251321910
829,70.65,1.532,1589251341691
830,70.65,1.532,1589251341700
831,70.65,0.956,1589251341765
832,70.64,1.533,1589251348995
833,70.63,1.33,1589251370656
834,70.65,1.63975,1589251375946
835,70.66,3.26266,1589251375946
